Emerald Chinese Restaurant	emerald chinese restaurant	1
Musashi Japanese Restaurant	musashi japanese restaurant	1
Taco Bell	taco bell	1
Marco's Pizza	marco 's pizza	1
Carluccio's Tivoli Gardens	carluccio 's tivoli gardens	1
Marathon Diner	marathon diner	1
Maria's Mexican Restaurant & Bakery	maria 's mexican restaurant & bakery	1
Bolt Fresh Bar	bolt fresh bar	1
The Steady Cafe & Bar	the steady cafe & bar	1
Manzetti's Tavern	manzetti 's tavern	1
Pearl Garden	pearl garden	1
Mad Crush Wine Bar	mad crush wine bar	1
Kabob House	kabob house	1
J's Fish & Chips	j 's fish & chips	1
Apteka	apteka	1
Buk Chang Dong Soon Tofu	buk chang dong soon tofu	1
Dairy Queen	dairy queen	1
Westwood Bar & Grill	westwood bar & grill	1
Nee House Chinese Restaurant	nee house chinese restaurant	1
MiraKuru	mirakuru	1
The Sweet Gallery	the sweet gallery	1
Braseiro	braseiro	1
Tavolino	tavolino	1
Bistro des Moulins	bistro des moulins	1
Burrito Bandidos	burrito bandidos	1
Medium Rare	medium rare	1
Imperial Asian Buffet	imperial asian buffet	1
Ohio Beer Garden	ohio beer garden	1
Carl's Jr	carl 's jr	1
Paramount Fine Foods	paramount fine foods	1
Aroma Espresso Bar	aroma espresso bar	1
Cruisers Bar and Grill	cruisers bar and grill	1
Ume Fashion Sushi	ume fashion sushi	1
Not Your Mother	not your mother	1
Vals Getaway DES Cafeteria	vals getaway des cafeteria	1
Artisan Fine Dining Room	artisan fine dining room	1
Fine Asian Bowl	fine asian bowl	1
Mai Thai II	mai thai ii	1
New Mexican Grill	new mexican grill	1
Impressionz	impressionz	1
Domino's Pizza	domino 's pizza	1
Served	served	1
JJ's Red Hots - Dilworth	jj 's red hots - dilworth	1
Ravi Soups	ravi soups	1
Salt Cellar	salt cellar	1
Little Caesars Pizza	little caesars pizza	1
Caffeine	caffeine	1
Gourmet Gringos	gourmet gringos	1
Bistro Divino	bistro divino	1
La Creperie	la creperie	1
Feast Buffet	feast buffet	1
Subway	subway	1
Howlers Craft Burgers & Beer	howlers craft burgers & beer	1
Restaurant Nhu Y	restaurant nhu y	1
Sushi Mocorito	sushi mocorito	1
Kibo Sushi House	kibo sushi house	1
Yummy Yummy Chinese Restaurant	yummy yummy chinese restaurant	1
Pallucci	pallucci	1
Heart Attack Grill	heart attack grill	1
Vince Neil's Tatuado | Eat, Drink, Party	vince neil 's tatuado | eat , drink , party	1
